Iteration 0 with T: 24
[2019-11-27 12:21] Train Step 0000/4000, Batch Size = 128, Examples/Sec = 5156.07, Accuracy = 0.07, Loss = 2.367
[2019-11-27 12:21] Train Step 0280/4000, Batch Size = 128, Examples/Sec = 7283.36, Accuracy = 0.10, Loss = 2.319
[2019-11-27 12:21] Train Step 0290/4000, Batch Size = 128, Examples/Sec = 7381.39, Accuracy = 0.11, Loss = 2.352
[2019-11-27 12:21] Train Step 0300/4000, Batch Size = 128, Examples/Sec = 7401.75, Accuracy = 0.13, Loss = 2.300
[2019-11-27 12:21] Train Step 0310/4000, Batch Size = 128, Examples/Sec = 7104.47, Accuracy = 0.10, Loss = 2.336
[2019-11-27 12:21] Train Step 0320/4000, Batch Size = 128, Examples/Sec = 7618.97, Accuracy = 0.10, Loss = 2.283
[2019-11-27 12:21] Train Step 0330/4000, Batch Size = 128, Examples/Sec = 7954.11, Accuracy = 0.05, Loss = 2.361
[2019-11-27 12:21] Train Step 0340/4000, Batch Size = 128, Examples/Sec = 7211.35, Accuracy = 0.08, Loss = 2.329
[2019-11-27 12:21] Train Step 0350/4000, Batch Size = 128, Examples/Sec = 7547.64, Accuracy = 0.09, Loss = 2.323
[2019-11-27 12:21] Train Step 0360/4000, Batch Size = 128, Examples/Sec = 7530.91, Accuracy = 0.09, Loss = 2.319
[2019-11-27 12:21] Train Step 0370/4000, Batch Size = 128, Examples/Sec = 7621.46, Accuracy = 0.09, Loss = 2.331
[2019-11-27 12:21] Train Step 0380/4000, Batch Size = 128, Examples/Sec = 7071.63, Accuracy = 0.06, Loss = 2.328
[2019-11-27 12:22] Train Step 0390/4000, Batch Size = 128, Examples/Sec = 7432.59, Accuracy = 0.12, Loss = 2.285
[2019-11-27 12:22] Train Step 0400/4000, Batch Size = 128, Examples/Sec = 7630.78, Accuracy = 0.11, Loss = 2.299
[2019-11-27 12:22] Train Step 0410/4000, Batch Size = 128, Examples/Sec = 7367.11, Accuracy = 0.15, Loss = 2.315
[2019-11-27 12:22] Train Step 0420/4000, Batch Size = 128, Examples/Sec = 7306.45, Accuracy = 0.10, Loss = 2.303
[2019-11-27 12:22] Train Step 0430/4000, Batch Size = 128, Examples/Sec = 7628.61, Accuracy = 0.08, Loss = 2.335
[2019-11-27 12:22] Train Step 0440/4000, Batch Size = 128, Examples/Sec = 7510.57, Accuracy = 0.10, Loss = 2.324
[2019-11-27 12:22] Train Step 0450/4000, Batch Size = 128, Examples/Sec = 7618.65, Accuracy = 0.16, Loss = 2.289
[2019-11-27 12:22] Train Step 0460/4000, Batch Size = 128, Examples/Sec = 7528.69, Accuracy = 0.04, Loss = 2.322
[2019-11-27 12:22] Train Step 0470/4000, Batch Size = 128, Examples/Sec = 7315.61, Accuracy = 0.06, Loss = 2.310
[2019-11-27 12:22] Train Step 0480/4000, Batch Size = 128, Examples/Sec = 7529.32, Accuracy = 0.09, Loss = 2.328
[2019-11-27 12:22] Train Step 0490/4000, Batch Size = 128, Examples/Sec = 7028.67, Accuracy = 0.12, Loss = 2.302
[2019-11-27 12:22] Train Step 0500/4000, Batch Size = 128, Examples/Sec = 7588.39, Accuracy = 0.08, Loss = 2.346
[2019-11-27 12:22] Train Step 0510/4000, Batch Size = 128, Examples/Sec = 8153.80, Accuracy = 0.09, Loss = 2.336
[2019-11-27 12:22] Train Step 0520/4000, Batch Size = 128, Examples/Sec = 7247.96, Accuracy = 0.09, Loss = 2.347
[2019-11-27 12:22] Train Step 0530/4000, Batch Size = 128, Examples/Sec = 7540.75, Accuracy = 0.09, Loss = 2.333
[2019-11-27 12:22] Train Step 0540/4000, Batch Size = 128, Examples/Sec = 7563.27, Accuracy = 0.08, Loss = 2.330
[2019-11-27 12:22] Train Step 0550/4000, Batch Size = 128, Examples/Sec = 7436.81, Accuracy = 0.09, Loss = 2.345
[2019-11-27 12:22] Train Step 0560/4000, Batch Size = 128, Examples/Sec = 7329.30, Accuracy = 0.10, Loss = 2.300
[2019-11-27 12:22] Train Step 0570/4000, Batch Size = 128, Examples/Sec = 7418.62, Accuracy = 0.11, Loss = 2.317
[2019-11-27 12:22] Train Step 0580/4000, Batch Size = 128, Examples/Sec = 7547.64, Accuracy = 0.10, Loss = 2.309
[2019-11-27 12:22] Train Step 0590/4000, Batch Size = 128, Examples/Sec = 7500.71, Accuracy = 0.12, Loss = 2.312
[2019-11-27 12:22] Train Step 0600/4000, Batch Size = 128, Examples/Sec = 7811.99, Accuracy = 0.07, Loss = 2.314
[2019-11-27 12:22] Train Step 0610/4000, Batch Size = 128, Examples/Sec = 7505.12, Accuracy = 0.09, Loss = 2.309
[2019-11-27 12:22] Train Step 0620/4000, Batch Size = 128, Examples/Sec = 7616.49, Accuracy = 0.10, Loss = 2.305
[2019-11-27 12:22] Train Step 0630/4000, Batch Size = 128, Examples/Sec = 6834.33, Accuracy = 0.07, Loss = 2.329
[2019-11-27 12:22] Train Step 0640/4000, Batch Size = 128, Examples/Sec = 7725.43, Accuracy = 0.10, Loss = 2.320
[2019-11-27 12:22] Train Step 0650/4000, Batch Size = 128, Examples/Sec = 7376.42, Accuracy = 0.09, Loss = 2.320
[2019-11-27 12:22] Train Step 0660/4000, Batch Size = 128, Examples/Sec = 7562.31, Accuracy = 0.10, Loss = 2.309
[2019-11-27 12:22] Train Step 0670/4000, Batch Size = 128, Examples/Sec = 7394.41, Accuracy = 0.10, Loss = 2.348
[2019-11-27 12:22] Train Step 0680/4000, Batch Size = 128, Examples/Sec = 7360.55, Accuracy = 0.09, Loss = 2.321
[2019-11-27 12:22] Train Step 0690/4000, Batch Size = 128, Examples/Sec = 7406.65, Accuracy = 0.15, Loss = 2.297
[2019-11-27 12:22] Train Step 0700/4000, Batch Size = 128, Examples/Sec = 7540.53, Accuracy = 0.12, Loss = 2.349
[2019-11-27 12:22] Train Step 0710/4000, Batch Size = 128, Examples/Sec = 7341.62, Accuracy = 0.11, Loss = 2.309
[2019-11-27 12:22] Train Step 0720/4000, Batch Size = 128, Examples/Sec = 7478.77, Accuracy = 0.09, Loss = 2.327
[2019-11-27 12:22] Train Step 0730/4000, Batch Size = 128, Examples/Sec = 7237.80, Accuracy = 0.09, Loss = 2.320
[2019-11-27 12:22] Train Step 0740/4000, Batch Size = 128, Examples/Sec = 7460.69, Accuracy = 0.16, Loss = 2.299
[2019-11-27 12:22] Train Step 0750/4000, Batch Size = 128, Examples/Sec = 8040.60, Accuracy = 0.09, Loss = 2.325
[2019-11-27 12:22] Train Step 0760/4000, Batch Size = 128, Examples/Sec = 6945.20, Accuracy = 0.10, Loss = 2.325
[2019-11-27 12:22] Train Step 0770/4000, Batch Size = 128, Examples/Sec = 6725.94, Accuracy = 0.10, Loss = 2.320
[2019-11-27 12:22] Train Step 0780/4000, Batch Size = 128, Examples/Sec = 6915.86, Accuracy = 0.08, Loss = 2.317
[2019-11-27 12:22] Train Step 0790/4000, Batch Size = 128, Examples/Sec = 6833.90, Accuracy = 0.12, Loss = 2.333
[2019-11-27 12:22] Train Step 0800/4000, Batch Size = 128, Examples/Sec = 6775.08, Accuracy = 0.10, Loss = 2.307
[2019-11-27 12:22] Train Step 0810/4000, Batch Size = 128, Examples/Sec = 6939.28, Accuracy = 0.12, Loss = 2.309
[2019-11-27 12:22] Train Step 0820/4000, Batch Size = 128, Examples/Sec = 6846.88, Accuracy = 0.09, Loss = 2.302
[2019-11-27 12:22] Train Step 0830/4000, Batch Size = 128, Examples/Sec = 6639.92, Accuracy = 0.09, Loss = 2.314
[2019-11-27 12:22] Train Step 0840/4000, Batch Size = 128, Examples/Sec = 6726.61, Accuracy = 0.05, Loss = 2.319
[2019-11-27 12:22] Train Step 0850/4000, Batch Size = 128, Examples/Sec = 6811.70, Accuracy = 0.09, Loss = 2.335
[2019-11-27 12:22] Train Step 0860/4000, Batch Size = 128, Examples/Sec = 6873.00, Accuracy = 0.13, Loss = 2.314
[2019-11-27 12:22] Train Step 0870/4000, Batch Size = 128, Examples/Sec = 6804.45, Accuracy = 0.09, Loss = 2.317
[2019-11-27 12:22] Train Step 0880/4000, Batch Size = 128, Examples/Sec = 6900.57, Accuracy = 0.09, Loss = 2.369
[2019-11-27 12:22] Train Step 0890/4000, Batch Size = 128, Examples/Sec = 6734.96, Accuracy = 0.10, Loss = 2.302
[2019-11-27 12:22] Train Step 0900/4000, Batch Size = 128, Examples/Sec = 6754.88, Accuracy = 0.10, Loss = 2.316
[2019-11-27 12:22] Train Step 0910/4000, Batch Size = 128, Examples/Sec = 6811.87, Accuracy = 0.08, Loss = 2.327
[2019-11-27 12:22] Train Step 0920/4000, Batch Size = 128, Examples/Sec = 7001.90, Accuracy = 0.12, Loss = 2.302
[2019-11-27 12:22] Train Step 0930/4000, Batch Size = 128, Examples/Sec = 6740.04, Accuracy = 0.09, Loss = 2.334
[2019-11-27 12:22] Train Step 0940/4000, Batch Size = 128, Examples/Sec = 6842.96, Accuracy = 0.12, Loss = 2.314
[2019-11-27 12:22] Train Step 0950/4000, Batch Size = 128, Examples/Sec = 6764.07, Accuracy = 0.11, Loss = 2.283
[2019-11-27 12:22] Train Step 0960/4000, Batch Size = 128, Examples/Sec = 6808.76, Accuracy = 0.09, Loss = 2.297
[2019-11-27 12:22] Train Step 0970/4000, Batch Size = 128, Examples/Sec = 8018.98, Accuracy = 0.13, Loss = 2.288
[2019-11-27 12:22] Train Step 0980/4000, Batch Size = 128, Examples/Sec = 6859.22, Accuracy = 0.09, Loss = 2.320
[2019-11-27 12:22] Train Step 0990/4000, Batch Size = 128, Examples/Sec = 6756.83, Accuracy = 0.15, Loss = 2.291
[2019-11-27 12:22] Train Step 1000/4000, Batch Size = 128, Examples/Sec = 6730.40, Accuracy = 0.13, Loss = 2.307
[2019-11-27 12:22] Train Step 1010/4000, Batch Size = 128, Examples/Sec = 6855.63, Accuracy = 0.13, Loss = 2.285
[2019-11-27 12:22] Train Step 1020/4000, Batch Size = 128, Examples/Sec = 6641.32, Accuracy = 0.14, Loss = 2.300
[2019-11-27 12:22] Train Step 1030/4000, Batch Size = 128, Examples/Sec = 6861.93, Accuracy = 0.06, Loss = 2.326
[2019-11-27 12:22] Train Step 1040/4000, Batch Size = 128, Examples/Sec = 6800.91, Accuracy = 0.12, Loss = 2.306
[2019-11-27 12:22] Train Step 1050/4000, Batch Size = 128, Examples/Sec = 6832.42, Accuracy = 0.13, Loss = 2.324
[2019-11-27 12:22] Train Step 1060/4000, Batch Size = 128, Examples/Sec = 6802.46, Accuracy = 0.16, Loss = 2.279
[2019-11-27 12:22] Train Step 1070/4000, Batch Size = 128, Examples/Sec = 6887.55, Accuracy = 0.12, Loss = 2.301
[2019-11-27 12:22] Train Step 1080/4000, Batch Size = 128, Examples/Sec = 6823.65, Accuracy = 0.06, Loss = 2.314
[2019-11-27 12:22] Train Step 1090/4000, Batch Size = 128, Examples/Sec = 6772.09, Accuracy = 0.11, Loss = 2.304
[2019-11-27 12:22] Train Step 1100/4000, Batch Size = 128, Examples/Sec = 6784.07, Accuracy = 0.09, Loss = 2.314
[2019-11-27 12:22] Train Step 1110/4000, Batch Size = 128, Examples/Sec = 6859.04, Accuracy = 0.09, Loss = 2.323
[2019-11-27 12:22] Train Step 1120/4000, Batch Size = 128, Examples/Sec = 6802.55, Accuracy = 0.15, Loss = 2.296
[2019-11-27 12:22] Train Step 1130/4000, Batch Size = 128, Examples/Sec = 6839.64, Accuracy = 0.04, Loss = 2.330
[2019-11-27 12:22] Train Step 1140/4000, Batch Size = 128, Examples/Sec = 6750.29, Accuracy = 0.11, Loss = 2.310
[2019-11-27 12:22] Train Step 1150/4000, Batch Size = 128, Examples/Sec = 6678.08, Accuracy = 0.12, Loss = 2.300
[2019-11-27 12:22] Train Step 1160/4000, Batch Size = 128, Examples/Sec = 6666.88, Accuracy = 0.13, Loss = 2.301
[2019-11-27 12:22] Train Step 1170/4000, Batch Size = 128, Examples/Sec = 6945.92, Accuracy = 0.12, Loss = 2.312
[2019-11-27 12:22] Train Step 1180/4000, Batch Size = 128, Examples/Sec = 6669.37, Accuracy = 0.15, Loss = 2.291
[2019-11-27 12:22] Train Step 1190/4000, Batch Size = 128, Examples/Sec = 6826.42, Accuracy = 0.13, Loss = 2.303
[2019-11-27 12:22] Train Step 1200/4000, Batch Size = 128, Examples/Sec = 6783.64, Accuracy = 0.12, Loss = 2.318
[2019-11-27 12:22] Train Step 1210/4000, Batch Size = 128, Examples/Sec = 6887.99, Accuracy = 0.09, Loss = 2.309
[2019-11-27 12:22] Train Step 1220/4000, Batch Size = 128, Examples/Sec = 6676.09, Accuracy = 0.10, Loss = 2.318
[2019-11-27 12:22] Train Step 1230/4000, Batch Size = 128, Examples/Sec = 6749.19, Accuracy = 0.09, Loss = 2.318
[2019-11-27 12:22] Train Step 1240/4000, Batch Size = 128, Examples/Sec = 6753.60, Accuracy = 0.12, Loss = 2.295
[2019-11-27 12:22] Train Step 1250/4000, Batch Size = 128, Examples/Sec = 6618.64, Accuracy = 0.12, Loss = 2.335
[2019-11-27 12:22] Train Step 1260/4000, Batch Size = 128, Examples/Sec = 6870.63, Accuracy = 0.10, Loss = 2.313
[2019-11-27 12:22] Train Step 1270/4000, Batch Size = 128, Examples/Sec = 6746.47, Accuracy = 0.09, Loss = 2.327
[2019-11-27 12:22] Train Step 1280/4000, Batch Size = 128, Examples/Sec = 6895.34, Accuracy = 0.16, Loss = 2.301
[2019-11-27 12:22] Train Step 1290/4000, Batch Size = 128, Examples/Sec = 6765.01, Accuracy = 0.15, Loss = 2.314
[2019-11-27 12:22] Train Step 1300/4000, Batch Size = 128, Examples/Sec = 6881.73, Accuracy = 0.16, Loss = 2.295
[2019-11-27 12:22] Train Step 1310/4000, Batch Size = 128, Examples/Sec = 6781.41, Accuracy = 0.08, Loss = 2.330
[2019-11-27 12:22] Train Step 1320/4000, Batch Size = 128, Examples/Sec = 6777.82, Accuracy = 0.06, Loss = 2.332
[2019-11-27 12:22] Train Step 1330/4000, Batch Size = 128, Examples/Sec = 6839.64, Accuracy = 0.16, Loss = 2.301
[2019-11-27 12:22] Train Step 1340/4000, Batch Size = 128, Examples/Sec = 6657.87, Accuracy = 0.09, Loss = 2.324
[2019-11-27 12:22] Train Step 1350/4000, Batch Size = 128, Examples/Sec = 6768.84, Accuracy = 0.11, Loss = 2.310
[2019-11-27 12:22] Train Step 1360/4000, Batch Size = 128, Examples/Sec = 6741.90, Accuracy = 0.05, Loss = 2.296
[2019-11-27 12:22] Train Step 1370/4000, Batch Size = 128, Examples/Sec = 6755.30, Accuracy = 0.09, Loss = 2.302
[2019-11-27 12:22] Train Step 1380/4000, Batch Size = 128, Examples/Sec = 6792.48, Accuracy = 0.08, Loss = 2.316
[2019-11-27 12:22] Train Step 1390/4000, Batch Size = 128, Examples/Sec = 6785.01, Accuracy = 0.10, Loss = 2.312
[2019-11-27 12:22] Train Step 1400/4000, Batch Size = 128, Examples/Sec = 6739.87, Accuracy = 0.11, Loss = 2.307
[2019-11-27 12:22] Train Step 1410/4000, Batch Size = 128, Examples/Sec = 6920.49, Accuracy = 0.09, Loss = 2.312
[2019-11-27 12:22] Train Step 1420/4000, Batch Size = 128, Examples/Sec = 6683.15, Accuracy = 0.09, Loss = 2.325
[2019-11-27 12:22] Train Step 1430/4000, Batch Size = 128, Examples/Sec = 8240.28, Accuracy = 0.07, Loss = 2.326
[2019-11-27 12:22] Train Step 1440/4000, Batch Size = 128, Examples/Sec = 6863.95, Accuracy = 0.12, Loss = 2.303
[2019-11-27 12:22] Train Step 1450/4000, Batch Size = 128, Examples/Sec = 6670.86, Accuracy = 0.06, Loss = 2.318
[2019-11-27 12:22] Train Step 1460/4000, Batch Size = 128, Examples/Sec = 6920.49, Accuracy = 0.09, Loss = 2.296
[2019-11-27 12:22] Train Step 1470/4000, Batch Size = 128, Examples/Sec = 6757.17, Accuracy = 0.09, Loss = 2.306
[2019-11-27 12:22] Train Step 1480/4000, Batch Size = 128, Examples/Sec = 6866.67, Accuracy = 0.11, Loss = 2.320
[2019-11-27 12:22] Train Step 1490/4000, Batch Size = 128, Examples/Sec = 6751.56, Accuracy = 0.11, Loss = 2.298
[2019-11-27 12:22] Train Step 1500/4000, Batch Size = 128, Examples/Sec = 6872.74, Accuracy = 0.12, Loss = 2.294
[2019-11-27 12:22] Train Step 1510/4000, Batch Size = 128, Examples/Sec = 6768.16, Accuracy = 0.10, Loss = 2.278
[2019-11-27 12:22] Train Step 1520/4000, Batch Size = 128, Examples/Sec = 6895.16, Accuracy = 0.15, Loss = 2.291
[2019-11-27 12:22] Train Step 1530/4000, Batch Size = 128, Examples/Sec = 6623.62, Accuracy = 0.09, Loss = 2.324
[2019-11-27 12:22] Train Step 1540/4000, Batch Size = 128, Examples/Sec = 6882.17, Accuracy = 0.11, Loss = 2.308
[2019-11-27 12:22] Train Step 1550/4000, Batch Size = 128, Examples/Sec = 6771.66, Accuracy = 0.09, Loss = 2.308
[2019-11-27 12:22] Train Step 1560/4000, Batch Size = 128, Examples/Sec = 6897.55, Accuracy = 0.11, Loss = 2.295
[2019-11-27 12:22] Train Step 1570/4000, Batch Size = 128, Examples/Sec = 7834.33, Accuracy = 0.08, Loss = 2.302
[2019-11-27 12:22] Train Step 1580/4000, Batch Size = 128, Examples/Sec = 7847.73, Accuracy = 0.10, Loss = 2.326
[2019-11-27 12:22] Train Step 1590/4000, Batch Size = 128, Examples/Sec = 6999.53, Accuracy = 0.09, Loss = 2.309
[2019-11-27 12:22] Train Step 1600/4000, Batch Size = 128, Examples/Sec = 6718.02, Accuracy = 0.07, Loss = 2.312
[2019-11-27 12:22] Train Step 1610/4000, Batch Size = 128, Examples/Sec = 6802.98, Accuracy = 0.08, Loss = 2.315
[2019-11-27 12:22] Train Step 1620/4000, Batch Size = 128, Examples/Sec = 7554.43, Accuracy = 0.12, Loss = 2.292
[2019-11-27 12:22] Train Step 1630/4000, Batch Size = 128, Examples/Sec = 7197.43, Accuracy = 0.09, Loss = 2.322
[2019-11-27 12:22] Train Step 1640/4000, Batch Size = 128, Examples/Sec = 7515.94, Accuracy = 0.10, Loss = 2.316
[2019-11-27 12:22] Train Step 1650/4000, Batch Size = 128, Examples/Sec = 7553.90, Accuracy = 0.12, Loss = 2.303
[2019-11-27 12:22] Train Step 1660/4000, Batch Size = 128, Examples/Sec = 7608.39, Accuracy = 0.09, Loss = 2.315
[2019-11-27 12:22] Train Step 1670/4000, Batch Size = 128, Examples/Sec = 7432.59, Accuracy = 0.12, Loss = 2.308
[2019-11-27 12:22] Train Step 1680/4000, Batch Size = 128, Examples/Sec = 7209.51, Accuracy = 0.10, Loss = 2.311
[2019-11-27 12:22] Train Step 1690/4000, Batch Size = 128, Examples/Sec = 7340.62, Accuracy = 0.05, Loss = 2.336
[2019-11-27 12:22] Train Step 1700/4000, Batch Size = 128, Examples/Sec = 7422.01, Accuracy = 0.14, Loss = 2.325
[2019-11-27 12:22] Train Step 1710/4000, Batch Size = 128, Examples/Sec = 6976.15, Accuracy = 0.09, Loss = 2.308
[2019-11-27 12:22] Train Step 1720/4000, Batch Size = 128, Examples/Sec = 7286.42, Accuracy = 0.15, Loss = 2.298
[2019-11-27 12:22] Train Step 1730/4000, Batch Size = 128, Examples/Sec = 7798.71, Accuracy = 0.09, Loss = 2.319
[2019-11-27 12:22] Train Step 1740/4000, Batch Size = 128, Examples/Sec = 7314.72, Accuracy = 0.12, Loss = 2.301
[2019-11-27 12:22] Train Step 1750/4000, Batch Size = 128, Examples/Sec = 7487.84, Accuracy = 0.09, Loss = 2.338
[2019-11-27 12:22] Train Step 1760/4000, Batch Size = 128, Examples/Sec = 7549.97, Accuracy = 0.05, Loss = 2.314
[2019-11-27 12:22] Train Step 1770/4000, Batch Size = 128, Examples/Sec = 7215.91, Accuracy = 0.09, Loss = 2.314
[2019-11-27 12:22] Train Step 1780/4000, Batch Size = 128, Examples/Sec = 7629.80, Accuracy = 0.15, Loss = 2.300
[2019-11-27 12:22] Train Step 1790/4000, Batch Size = 128, Examples/Sec = 7068.09, Accuracy = 0.05, Loss = 2.330
[2019-11-27 12:22] Train Step 1800/4000, Batch Size = 128, Examples/Sec = 7468.57, Accuracy = 0.07, Loss = 2.314
[2019-11-27 12:22] Train Step 1810/4000, Batch Size = 128, Examples/Sec = 7211.16, Accuracy = 0.12, Loss = 2.317
[2019-11-27 12:22] Train Step 1820/4000, Batch Size = 128, Examples/Sec = 7534.08, Accuracy = 0.09, Loss = 2.324
[2019-11-27 12:22] Train Step 1830/4000, Batch Size = 128, Examples/Sec = 7398.48, Accuracy = 0.09, Loss = 2.322
[2019-11-27 12:22] Train Step 1840/4000, Batch Size = 128, Examples/Sec = 7388.40, Accuracy = 0.07, Loss = 2.327
[2019-11-27 12:22] Train Step 1850/4000, Batch Size = 128, Examples/Sec = 7984.87, Accuracy = 0.09, Loss = 2.302
[2019-11-27 12:22] Train Step 1860/4000, Batch Size = 128, Examples/Sec = 7183.56, Accuracy = 0.10, Loss = 2.328
[2019-11-27 12:22] Train Step 1870/4000, Batch Size = 128, Examples/Sec = 7423.03, Accuracy = 0.09, Loss = 2.318
[2019-11-27 12:22] Train Step 1880/4000, Batch Size = 128, Examples/Sec = 7434.96, Accuracy = 0.10, Loss = 2.328
[2019-11-27 12:22] Train Step 1890/4000, Batch Size = 128, Examples/Sec = 7286.62, Accuracy = 0.11, Loss = 2.306
[2019-11-27 12:22] Train Step 1900/4000, Batch Size = 128, Examples/Sec = 7917.87, Accuracy = 0.15, Loss = 2.306
[2019-11-27 12:22] Train Step 1910/4000, Batch Size = 128, Examples/Sec = 7058.61, Accuracy = 0.09, Loss = 2.324
[2019-11-27 12:22] Train Step 1920/4000, Batch Size = 128, Examples/Sec = 7553.37, Accuracy = 0.07, Loss = 2.313
[2019-11-27 12:22] Train Step 1930/4000, Batch Size = 128, Examples/Sec = 6837.38, Accuracy = 0.11, Loss = 2.317
[2019-11-27 12:22] Train Step 1940/4000, Batch Size = 128, Examples/Sec = 7434.96, Accuracy = 0.07, Loss = 2.321
[2019-11-27 12:22] Train Step 1950/4000, Batch Size = 128, Examples/Sec = 7461.31, Accuracy = 0.13, Loss = 2.297
[2019-11-27 12:22] Train Step 1960/4000, Batch Size = 128, Examples/Sec = 7458.41, Accuracy = 0.09, Loss = 2.312
[2019-11-27 12:22] Train Step 1970/4000, Batch Size = 128, Examples/Sec = 8090.28, Accuracy = 0.09, Loss = 2.336
[2019-11-27 12:22] Train Step 1980/4000, Batch Size = 128, Examples/Sec = 7486.17, Accuracy = 0.12, Loss = 2.301
[2019-11-27 12:22] Train Step 1990/4000, Batch Size = 128, Examples/Sec = 7468.88, Accuracy = 0.09, Loss = 2.311
[2019-11-27 12:22] Train Step 2000/4000, Batch Size = 128, Examples/Sec = 7450.44, Accuracy = 0.09, Loss = 2.295
[2019-11-27 12:22] Train Step 2010/4000, Batch Size = 128, Examples/Sec = 7384.54, Accuracy = 0.08, Loss = 2.324
[2019-11-27 12:22] Train Step 2020/4000, Batch Size = 128, Examples/Sec = 7895.16, Accuracy = 0.10, Loss = 2.305
[2019-11-27 12:22] Train Step 2030/4000, Batch Size = 128, Examples/Sec = 7070.23, Accuracy = 0.12, Loss = 2.317
[2019-11-27 12:22] Train Step 2040/4000, Batch Size = 128, Examples/Sec = 7472.11, Accuracy = 0.06, Loss = 2.297
[2019-11-27 12:22] Train Step 2050/4000, Batch Size = 128, Examples/Sec = 7220.37, Accuracy = 0.09, Loss = 2.307
[2019-11-27 12:22] Train Step 2060/4000, Batch Size = 128, Examples/Sec = 7337.71, Accuracy = 0.05, Loss = 2.311
[2019-11-27 12:22] Train Step 2070/4000, Batch Size = 128, Examples/Sec = 7508.68, Accuracy = 0.10, Loss = 2.333
[2019-11-27 12:22] Train Step 2080/4000, Batch Size = 128, Examples/Sec = 8054.71, Accuracy = 0.10, Loss = 2.301
[2019-11-27 12:22] Train Step 2090/4000, Batch Size = 128, Examples/Sec = 7387.79, Accuracy = 0.09, Loss = 2.312
