Iteration 0 with T: 30
[2019-11-27 13:19] Train Step 0000/4000, Batch Size = 128, Examples/Sec = 5171.27, Accuracy = 0.10, Loss = 2.677
[2019-11-27 13:19] Train Step 0400/4000, Batch Size = 128, Examples/Sec = 6162.64, Accuracy = 0.08, Loss = 2.344
[2019-11-27 13:19] Train Step 0410/4000, Batch Size = 128, Examples/Sec = 8199.38, Accuracy = 0.10, Loss = 2.314
[2019-11-27 13:19] Train Step 0420/4000, Batch Size = 128, Examples/Sec = 8181.14, Accuracy = 0.06, Loss = 2.317
[2019-11-27 13:19] Train Step 0430/4000, Batch Size = 128, Examples/Sec = 8203.14, Accuracy = 0.13, Loss = 2.311
[2019-11-27 13:19] Train Step 0440/4000, Batch Size = 128, Examples/Sec = 6344.34, Accuracy = 0.16, Loss = 2.307
[2019-11-27 13:19] Train Step 0450/4000, Batch Size = 128, Examples/Sec = 8205.02, Accuracy = 0.09, Loss = 2.326
[2019-11-27 13:19] Train Step 0460/4000, Batch Size = 128, Examples/Sec = 8208.28, Accuracy = 0.11, Loss = 2.302
[2019-11-27 13:19] Train Step 0470/4000, Batch Size = 128, Examples/Sec = 8204.90, Accuracy = 0.12, Loss = 2.329
[2019-11-27 13:19] Train Step 0480/4000, Batch Size = 128, Examples/Sec = 8210.04, Accuracy = 0.06, Loss = 2.360
[2019-11-27 13:19] Train Step 0490/4000, Batch Size = 128, Examples/Sec = 8204.02, Accuracy = 0.12, Loss = 2.340
[2019-11-27 13:19] Train Step 0500/4000, Batch Size = 128, Examples/Sec = 8182.76, Accuracy = 0.12, Loss = 2.315
[2019-11-27 13:19] Train Step 0510/4000, Batch Size = 128, Examples/Sec = 6532.47, Accuracy = 0.08, Loss = 2.313
[2019-11-27 13:19] Train Step 0520/4000, Batch Size = 128, Examples/Sec = 6580.75, Accuracy = 0.09, Loss = 2.324
[2019-11-27 13:19] Train Step 0530/4000, Batch Size = 128, Examples/Sec = 8197.63, Accuracy = 0.10, Loss = 2.328
[2019-11-27 13:19] Train Step 0540/4000, Batch Size = 128, Examples/Sec = 8183.51, Accuracy = 0.10, Loss = 2.330
[2019-11-27 13:19] Train Step 0550/4000, Batch Size = 128, Examples/Sec = 6944.30, Accuracy = 0.12, Loss = 2.292
[2019-11-27 13:19] Train Step 0560/4000, Batch Size = 128, Examples/Sec = 8218.46, Accuracy = 0.11, Loss = 2.306
[2019-11-27 13:19] Train Step 0570/4000, Batch Size = 128, Examples/Sec = 8171.80, Accuracy = 0.09, Loss = 2.305
[2019-11-27 13:19] Train Step 0580/4000, Batch Size = 128, Examples/Sec = 8282.74, Accuracy = 0.14, Loss = 2.293
[2019-11-27 13:19] Train Step 0590/4000, Batch Size = 128, Examples/Sec = 8202.64, Accuracy = 0.12, Loss = 2.309
[2019-11-27 13:19] Train Step 0600/4000, Batch Size = 128, Examples/Sec = 8216.83, Accuracy = 0.08, Loss = 2.316
[2019-11-27 13:19] Train Step 0610/4000, Batch Size = 128, Examples/Sec = 8206.53, Accuracy = 0.13, Loss = 2.307
[2019-11-27 13:19] Train Step 0620/4000, Batch Size = 128, Examples/Sec = 8185.51, Accuracy = 0.10, Loss = 2.314
[2019-11-27 13:19] Train Step 0630/4000, Batch Size = 128, Examples/Sec = 6438.23, Accuracy = 0.12, Loss = 2.294
[2019-11-27 13:19] Train Step 0640/4000, Batch Size = 128, Examples/Sec = 8184.51, Accuracy = 0.23, Loss = 2.282
[2019-11-27 13:19] Train Step 0650/4000, Batch Size = 128, Examples/Sec = 6414.23, Accuracy = 0.06, Loss = 2.349
[2019-11-27 13:19] Train Step 0660/4000, Batch Size = 128, Examples/Sec = 8192.25, Accuracy = 0.09, Loss = 2.319
[2019-11-27 13:19] Train Step 0670/4000, Batch Size = 128, Examples/Sec = 8178.27, Accuracy = 0.09, Loss = 2.335
[2019-11-27 13:19] Train Step 0680/4000, Batch Size = 128, Examples/Sec = 8194.63, Accuracy = 0.07, Loss = 2.314
[2019-11-27 13:19] Train Step 0690/4000, Batch Size = 128, Examples/Sec = 8191.88, Accuracy = 0.12, Loss = 2.297
[2019-11-27 13:19] Train Step 0700/4000, Batch Size = 128, Examples/Sec = 8233.46, Accuracy = 0.13, Loss = 2.296
[2019-11-27 13:19] Train Step 0710/4000, Batch Size = 128, Examples/Sec = 6329.38, Accuracy = 0.06, Loss = 2.354
[2019-11-27 13:19] Train Step 0720/4000, Batch Size = 128, Examples/Sec = 6380.99, Accuracy = 0.10, Loss = 2.320
[2019-11-27 13:19] Train Step 0730/4000, Batch Size = 128, Examples/Sec = 2286.08, Accuracy = 0.09, Loss = 2.321
[2019-11-27 13:19] Train Step 0740/4000, Batch Size = 128, Examples/Sec = 8203.14, Accuracy = 0.17, Loss = 2.282
[2019-11-27 13:19] Train Step 0750/4000, Batch Size = 128, Examples/Sec = 6154.59, Accuracy = 0.06, Loss = 2.321
[2019-11-27 13:19] Train Step 0760/4000, Batch Size = 128, Examples/Sec = 6268.34, Accuracy = 0.10, Loss = 2.312
[2019-11-27 13:19] Train Step 0770/4000, Batch Size = 128, Examples/Sec = 6332.00, Accuracy = 0.09, Loss = 2.330
[2019-11-27 13:19] Train Step 0780/4000, Batch Size = 128, Examples/Sec = 8168.32, Accuracy = 0.14, Loss = 2.287
[2019-11-27 13:19] Train Step 0790/4000, Batch Size = 128, Examples/Sec = 8206.78, Accuracy = 0.09, Loss = 2.305
[2019-11-27 13:19] Train Step 0800/4000, Batch Size = 128, Examples/Sec = 6462.48, Accuracy = 0.09, Loss = 2.333
[2019-11-27 13:19] Train Step 0810/4000, Batch Size = 128, Examples/Sec = 8195.38, Accuracy = 0.14, Loss = 2.317
[2019-11-27 13:19] Train Step 0820/4000, Batch Size = 128, Examples/Sec = 6520.17, Accuracy = 0.07, Loss = 2.337
[2019-11-27 13:19] Train Step 0830/4000, Batch Size = 128, Examples/Sec = 6513.76, Accuracy = 0.12, Loss = 2.313
[2019-11-27 13:19] Train Step 0840/4000, Batch Size = 128, Examples/Sec = 8201.76, Accuracy = 0.14, Loss = 2.299
[2019-11-27 13:19] Train Step 0850/4000, Batch Size = 128, Examples/Sec = 8209.04, Accuracy = 0.05, Loss = 2.323
[2019-11-27 13:19] Train Step 0860/4000, Batch Size = 128, Examples/Sec = 6377.81, Accuracy = 0.12, Loss = 2.310
[2019-11-27 13:19] Train Step 0870/4000, Batch Size = 128, Examples/Sec = 6389.95, Accuracy = 0.09, Loss = 2.318
[2019-11-27 13:19] Train Step 0880/4000, Batch Size = 128, Examples/Sec = 8199.26, Accuracy = 0.13, Loss = 2.306
[2019-11-27 13:19] Train Step 0890/4000, Batch Size = 128, Examples/Sec = 8211.17, Accuracy = 0.09, Loss = 2.320
[2019-11-27 13:19] Train Step 0900/4000, Batch Size = 128, Examples/Sec = 8173.92, Accuracy = 0.09, Loss = 2.339
[2019-11-27 13:19] Train Step 0910/4000, Batch Size = 128, Examples/Sec = 8217.20, Accuracy = 0.11, Loss = 2.288
[2019-11-27 13:19] Train Step 0920/4000, Batch Size = 128, Examples/Sec = 8167.20, Accuracy = 0.10, Loss = 2.295
[2019-11-27 13:19] Train Step 0930/4000, Batch Size = 128, Examples/Sec = 8238.64, Accuracy = 0.12, Loss = 2.350
[2019-11-27 13:19] Train Step 0940/4000, Batch Size = 128, Examples/Sec = 8197.63, Accuracy = 0.12, Loss = 2.325
[2019-11-27 13:19] Train Step 0950/4000, Batch Size = 128, Examples/Sec = 6428.13, Accuracy = 0.14, Loss = 2.319
[2019-11-27 13:19] Train Step 0960/4000, Batch Size = 128, Examples/Sec = 6529.69, Accuracy = 0.10, Loss = 2.308
[2019-11-27 13:19] Train Step 0970/4000, Batch Size = 128, Examples/Sec = 8185.63, Accuracy = 0.14, Loss = 2.296
[2019-11-27 13:19] Train Step 0980/4000, Batch Size = 128, Examples/Sec = 6324.76, Accuracy = 0.16, Loss = 2.308
[2019-11-27 13:19] Train Step 0990/4000, Batch Size = 128, Examples/Sec = 6439.31, Accuracy = 0.09, Loss = 2.341
[2019-11-27 13:19] Train Step 1000/4000, Batch Size = 128, Examples/Sec = 8168.82, Accuracy = 0.12, Loss = 2.306
[2019-11-27 13:19] Train Step 1010/4000, Batch Size = 128, Examples/Sec = 6423.28, Accuracy = 0.10, Loss = 2.310
[2019-11-27 13:19] Train Step 1020/4000, Batch Size = 128, Examples/Sec = 6668.96, Accuracy = 0.11, Loss = 2.323
[2019-11-27 13:19] Train Step 1030/4000, Batch Size = 128, Examples/Sec = 8200.63, Accuracy = 0.07, Loss = 2.341
[2019-11-27 13:19] Train Step 1040/4000, Batch Size = 128, Examples/Sec = 6434.91, Accuracy = 0.10, Loss = 2.320
[2019-11-27 13:19] Train Step 1050/4000, Batch Size = 128, Examples/Sec = 8196.75, Accuracy = 0.10, Loss = 2.312
[2019-11-27 13:19] Train Step 1060/4000, Batch Size = 128, Examples/Sec = 8193.13, Accuracy = 0.05, Loss = 2.315
[2019-11-27 13:19] Train Step 1070/4000, Batch Size = 128, Examples/Sec = 8163.97, Accuracy = 0.08, Loss = 2.329
[2019-11-27 13:19] Train Step 1080/4000, Batch Size = 128, Examples/Sec = 8131.33, Accuracy = 0.08, Loss = 2.332
[2019-11-27 13:19] Train Step 1090/4000, Batch Size = 128, Examples/Sec = 8206.40, Accuracy = 0.09, Loss = 2.332
[2019-11-27 13:19] Train Step 1100/4000, Batch Size = 128, Examples/Sec = 8198.51, Accuracy = 0.12, Loss = 2.314
[2019-11-27 13:19] Train Step 1110/4000, Batch Size = 128, Examples/Sec = 8198.00, Accuracy = 0.12, Loss = 2.315
[2019-11-27 13:19] Train Step 1120/4000, Batch Size = 128, Examples/Sec = 8191.25, Accuracy = 0.13, Loss = 2.308
[2019-11-27 13:19] Train Step 1130/4000, Batch Size = 128, Examples/Sec = 6136.09, Accuracy = 0.09, Loss = 2.311
[2019-11-27 13:19] Train Step 1140/4000, Batch Size = 128, Examples/Sec = 8182.64, Accuracy = 0.10, Loss = 2.338
[2019-11-27 13:19] Train Step 1150/4000, Batch Size = 128, Examples/Sec = 8180.27, Accuracy = 0.09, Loss = 2.348
[2019-11-27 13:19] Train Step 1160/4000, Batch Size = 128, Examples/Sec = 8188.13, Accuracy = 0.12, Loss = 2.322
[2019-11-27 13:19] Train Step 1170/4000, Batch Size = 128, Examples/Sec = 8204.90, Accuracy = 0.11, Loss = 2.299
[2019-11-27 13:19] Train Step 1180/4000, Batch Size = 128, Examples/Sec = 8168.32, Accuracy = 0.12, Loss = 2.304
[2019-11-27 13:19] Train Step 1190/4000, Batch Size = 128, Examples/Sec = 8187.13, Accuracy = 0.09, Loss = 2.314
[2019-11-27 13:19] Train Step 1200/4000, Batch Size = 128, Examples/Sec = 6408.41, Accuracy = 0.14, Loss = 2.290
[2019-11-27 13:19] Train Step 1210/4000, Batch Size = 128, Examples/Sec = 8174.16, Accuracy = 0.09, Loss = 2.312
[2019-11-27 13:19] Train Step 1220/4000, Batch Size = 128, Examples/Sec = 8174.66, Accuracy = 0.14, Loss = 2.295
[2019-11-27 13:19] Train Step 1230/4000, Batch Size = 128, Examples/Sec = 8147.74, Accuracy = 0.09, Loss = 2.309
[2019-11-27 13:19] Train Step 1240/4000, Batch Size = 128, Examples/Sec = 8190.38, Accuracy = 0.11, Loss = 2.304
[2019-11-27 13:19] Train Step 1250/4000, Batch Size = 128, Examples/Sec = 8191.13, Accuracy = 0.16, Loss = 2.307
[2019-11-27 13:19] Train Step 1260/4000, Batch Size = 128, Examples/Sec = 8140.45, Accuracy = 0.10, Loss = 2.305
[2019-11-27 13:19] Train Step 1270/4000, Batch Size = 128, Examples/Sec = 8193.63, Accuracy = 0.09, Loss = 2.318
[2019-11-27 13:19] Train Step 1280/4000, Batch Size = 128, Examples/Sec = 6273.69, Accuracy = 0.12, Loss = 2.299
[2019-11-27 13:19] Train Step 1290/4000, Batch Size = 128, Examples/Sec = 8191.50, Accuracy = 0.10, Loss = 2.327
[2019-11-27 13:19] Train Step 1300/4000, Batch Size = 128, Examples/Sec = 8150.46, Accuracy = 0.06, Loss = 2.336
[2019-11-27 13:19] Train Step 1310/4000, Batch Size = 128, Examples/Sec = 6366.54, Accuracy = 0.09, Loss = 2.355
[2019-11-27 13:19] Train Step 1320/4000, Batch Size = 128, Examples/Sec = 8164.34, Accuracy = 0.05, Loss = 2.343
[2019-11-27 13:19] Train Step 1330/4000, Batch Size = 128, Examples/Sec = 8195.50, Accuracy = 0.09, Loss = 2.340
[2019-11-27 13:19] Train Step 1340/4000, Batch Size = 128, Examples/Sec = 8150.09, Accuracy = 0.08, Loss = 2.332
[2019-11-27 13:19] Train Step 1350/4000, Batch Size = 128, Examples/Sec = 8189.25, Accuracy = 0.09, Loss = 2.310
[2019-11-27 13:19] Train Step 1360/4000, Batch Size = 128, Examples/Sec = 8211.04, Accuracy = 0.11, Loss = 2.297
[2019-11-27 13:20] Train Step 1370/4000, Batch Size = 128, Examples/Sec = 8175.78, Accuracy = 0.08, Loss = 2.313
[2019-11-27 13:20] Train Step 1380/4000, Batch Size = 128, Examples/Sec = 6415.61, Accuracy = 0.15, Loss = 2.280
[2019-11-27 13:20] Train Step 1390/4000, Batch Size = 128, Examples/Sec = 8172.55, Accuracy = 0.09, Loss = 2.333
[2019-11-27 13:20] Train Step 1400/4000, Batch Size = 128, Examples/Sec = 6504.14, Accuracy = 0.14, Loss = 2.302
[2019-11-27 13:20] Train Step 1410/4000, Batch Size = 128, Examples/Sec = 8162.48, Accuracy = 0.09, Loss = 2.321
[2019-11-27 13:20] Train Step 1420/4000, Batch Size = 128, Examples/Sec = 6304.04, Accuracy = 0.12, Loss = 2.322
[2019-11-27 13:20] Train Step 1430/4000, Batch Size = 128, Examples/Sec = 8207.03, Accuracy = 0.14, Loss = 2.310
[2019-11-27 13:20] Train Step 1440/4000, Batch Size = 128, Examples/Sec = 6311.15, Accuracy = 0.11, Loss = 2.301
[2019-11-27 13:20] Train Step 1450/4000, Batch Size = 128, Examples/Sec = 6462.72, Accuracy = 0.09, Loss = 2.299
[2019-11-27 13:20] Train Step 1460/4000, Batch Size = 128, Examples/Sec = 6575.84, Accuracy = 0.12, Loss = 2.334
[2019-11-27 13:20] Train Step 1470/4000, Batch Size = 128, Examples/Sec = 6195.71, Accuracy = 0.12, Loss = 2.299
[2019-11-27 13:20] Train Step 1480/4000, Batch Size = 128, Examples/Sec = 6159.53, Accuracy = 0.09, Loss = 2.346
[2019-11-27 13:20] Train Step 1490/4000, Batch Size = 128, Examples/Sec = 8144.28, Accuracy = 0.10, Loss = 2.307
[2019-11-27 13:20] Train Step 1500/4000, Batch Size = 128, Examples/Sec = 8197.50, Accuracy = 0.06, Loss = 2.310
[2019-11-27 13:20] Train Step 1510/4000, Batch Size = 128, Examples/Sec = 8161.99, Accuracy = 0.14, Loss = 2.301
[2019-11-27 13:20] Train Step 1520/4000, Batch Size = 128, Examples/Sec = 6384.10, Accuracy = 0.09, Loss = 2.302
[2019-11-27 13:20] Train Step 1530/4000, Batch Size = 128, Examples/Sec = 8201.39, Accuracy = 0.09, Loss = 2.330
[2019-11-27 13:20] Train Step 1540/4000, Batch Size = 128, Examples/Sec = 6441.70, Accuracy = 0.13, Loss = 2.298
[2019-11-27 13:20] Train Step 1550/4000, Batch Size = 128, Examples/Sec = 8193.38, Accuracy = 0.08, Loss = 2.320
[2019-11-27 13:20] Train Step 1560/4000, Batch Size = 128, Examples/Sec = 6607.72, Accuracy = 0.05, Loss = 2.325
[2019-11-27 13:20] Train Step 1570/4000, Batch Size = 128, Examples/Sec = 6392.16, Accuracy = 0.09, Loss = 2.311
[2019-11-27 13:20] Train Step 1580/4000, Batch Size = 128, Examples/Sec = 8204.39, Accuracy = 0.09, Loss = 2.324
[2019-11-27 13:20] Train Step 1590/4000, Batch Size = 128, Examples/Sec = 6520.96, Accuracy = 0.10, Loss = 2.291
[2019-11-27 13:20] Train Step 1600/4000, Batch Size = 128, Examples/Sec = 6271.93, Accuracy = 0.11, Loss = 2.311
[2019-11-27 13:20] Train Step 1610/4000, Batch Size = 128, Examples/Sec = 8183.88, Accuracy = 0.16, Loss = 2.314
[2019-11-27 13:20] Train Step 1620/4000, Batch Size = 128, Examples/Sec = 8174.91, Accuracy = 0.09, Loss = 2.309
[2019-11-27 13:20] Train Step 1630/4000, Batch Size = 128, Examples/Sec = 8197.75, Accuracy = 0.12, Loss = 2.316
[2019-11-27 13:20] Train Step 1640/4000, Batch Size = 128, Examples/Sec = 8208.41, Accuracy = 0.12, Loss = 2.292
[2019-11-27 13:20] Train Step 1650/4000, Batch Size = 128, Examples/Sec = 8177.03, Accuracy = 0.05, Loss = 2.316
[2019-11-27 13:20] Train Step 1660/4000, Batch Size = 128, Examples/Sec = 8206.02, Accuracy = 0.07, Loss = 2.321
[2019-11-27 13:20] Train Step 1670/4000, Batch Size = 128, Examples/Sec = 6182.44, Accuracy = 0.09, Loss = 2.320
[2019-11-27 13:20] Train Step 1680/4000, Batch Size = 128, Examples/Sec = 8185.51, Accuracy = 0.10, Loss = 2.305
[2019-11-27 13:20] Train Step 1690/4000, Batch Size = 128, Examples/Sec = 6273.76, Accuracy = 0.10, Loss = 2.303
[2019-11-27 13:20] Train Step 1700/4000, Batch Size = 128, Examples/Sec = 6546.01, Accuracy = 0.12, Loss = 2.311
[2019-11-27 13:20] Train Step 1710/4000, Batch Size = 128, Examples/Sec = 6551.20, Accuracy = 0.10, Loss = 2.308
[2019-11-27 13:20] Train Step 1720/4000, Batch Size = 128, Examples/Sec = 8184.01, Accuracy = 0.09, Loss = 2.300
[2019-11-27 13:20] Train Step 1730/4000, Batch Size = 128, Examples/Sec = 6587.45, Accuracy = 0.11, Loss = 2.314
[2019-11-27 13:20] Train Step 1740/4000, Batch Size = 128, Examples/Sec = 8173.92, Accuracy = 0.07, Loss = 2.339
[2019-11-27 13:20] Train Step 1750/4000, Batch Size = 128, Examples/Sec = 8184.01, Accuracy = 0.16, Loss = 2.306
[2019-11-27 13:20] Train Step 1760/4000, Batch Size = 128, Examples/Sec = 6151.49, Accuracy = 0.12, Loss = 2.308
[2019-11-27 13:20] Train Step 1770/4000, Batch Size = 128, Examples/Sec = 8165.71, Accuracy = 0.10, Loss = 2.313
[2019-11-27 13:20] Train Step 1780/4000, Batch Size = 128, Examples/Sec = 6414.99, Accuracy = 0.09, Loss = 2.321
[2019-11-27 13:20] Train Step 1790/4000, Batch Size = 128, Examples/Sec = 8188.88, Accuracy = 0.09, Loss = 2.313
[2019-11-27 13:20] Train Step 1800/4000, Batch Size = 128, Examples/Sec = 8170.68, Accuracy = 0.11, Loss = 2.313
[2019-11-27 13:20] Train Step 1810/4000, Batch Size = 128, Examples/Sec = 6079.80, Accuracy = 0.13, Loss = 2.298
[2019-11-27 13:20] Train Step 1820/4000, Batch Size = 128, Examples/Sec = 8143.17, Accuracy = 0.11, Loss = 2.308
[2019-11-27 13:20] Train Step 1830/4000, Batch Size = 128, Examples/Sec = 8189.88, Accuracy = 0.19, Loss = 2.305
[2019-11-27 13:20] Train Step 1840/4000, Batch Size = 128, Examples/Sec = 6309.08, Accuracy = 0.11, Loss = 2.320
[2019-11-27 13:20] Train Step 1850/4000, Batch Size = 128, Examples/Sec = 8181.64, Accuracy = 0.12, Loss = 2.311
[2019-11-27 13:20] Train Step 1860/4000, Batch Size = 128, Examples/Sec = 6108.44, Accuracy = 0.09, Loss = 2.321
[2019-11-27 13:20] Train Step 1870/4000, Batch Size = 128, Examples/Sec = 6279.78, Accuracy = 0.09, Loss = 2.325
[2019-11-27 13:20] Train Step 1880/4000, Batch Size = 128, Examples/Sec = 8175.41, Accuracy = 0.08, Loss = 2.314
[2019-11-27 13:20] Train Step 1890/4000, Batch Size = 128, Examples/Sec = 8200.26, Accuracy = 0.13, Loss = 2.304
[2019-11-27 13:20] Train Step 1900/4000, Batch Size = 128, Examples/Sec = 8174.41, Accuracy = 0.12, Loss = 2.313
[2019-11-27 13:20] Train Step 1910/4000, Batch Size = 128, Examples/Sec = 8182.01, Accuracy = 0.12, Loss = 2.300
[2019-11-27 13:20] Train Step 1920/4000, Batch Size = 128, Examples/Sec = 6372.20, Accuracy = 0.10, Loss = 2.302
[2019-11-27 13:20] Train Step 1930/4000, Batch Size = 128, Examples/Sec = 8197.75, Accuracy = 0.07, Loss = 2.332
[2019-11-27 13:20] Train Step 1940/4000, Batch Size = 128, Examples/Sec = 6239.57, Accuracy = 0.11, Loss = 2.302
[2019-11-27 13:20] Train Step 1950/4000, Batch Size = 128, Examples/Sec = 6493.28, Accuracy = 0.12, Loss = 2.301
[2019-11-27 13:20] Train Step 1960/4000, Batch Size = 128, Examples/Sec = 8202.26, Accuracy = 0.12, Loss = 2.317
[2019-11-27 13:20] Train Step 1970/4000, Batch Size = 128, Examples/Sec = 8144.03, Accuracy = 0.09, Loss = 2.308
[2019-11-27 13:20] Train Step 1980/4000, Batch Size = 128, Examples/Sec = 8173.17, Accuracy = 0.13, Loss = 2.307
[2019-11-27 13:20] Train Step 1990/4000, Batch Size = 128, Examples/Sec = 8157.77, Accuracy = 0.09, Loss = 2.303
[2019-11-27 13:20] Train Step 2000/4000, Batch Size = 128, Examples/Sec = 8192.25, Accuracy = 0.13, Loss = 2.291
[2019-11-27 13:20] Train Step 2010/4000, Batch Size = 128, Examples/Sec = 8174.79, Accuracy = 0.09, Loss = 2.297
[2019-11-27 13:20] Train Step 2020/4000, Batch Size = 128, Examples/Sec = 8192.63, Accuracy = 0.07, Loss = 2.313
[2019-11-27 13:20] Train Step 2030/4000, Batch Size = 128, Examples/Sec = 8208.28, Accuracy = 0.13, Loss = 2.305
[2019-11-27 13:20] Train Step 2040/4000, Batch Size = 128, Examples/Sec = 6203.09, Accuracy = 0.14, Loss = 2.303
[2019-11-27 13:20] Train Step 2050/4000, Batch Size = 128, Examples/Sec = 8210.42, Accuracy = 0.12, Loss = 2.315
[2019-11-27 13:20] Train Step 2060/4000, Batch Size = 128, Examples/Sec = 8178.02, Accuracy = 0.10, Loss = 2.320
[2019-11-27 13:20] Train Step 2070/4000, Batch Size = 128, Examples/Sec = 8172.42, Accuracy = 0.09, Loss = 2.311
[2019-11-27 13:20] Train Step 2080/4000, Batch Size = 128, Examples/Sec = 6606.42, Accuracy = 0.11, Loss = 2.317
[2019-11-27 13:20] Train Step 2090/4000, Batch Size = 128, Examples/Sec = 8200.51, Accuracy = 0.08, Loss = 2.321
